"V1","V2","V3","V4","V5","V6","V7","V8"
-0.601070496551928,-0.628119570669281,0.13099268655339,-1.32894932568964,0.507299270072993,0.0157664233576642,-0.670803551012679,-1.37449713902391
-0.693373884760771,-0.734095491724035,0.998724662271996,-0.975255560150123,0.510989010989011,0.00912087912087912,-0.691660658302765,-1.34115710230381
-0.675724605135549,-0.659635968311251,0.208488564777198,-0.679846526612692,0.508620689655172,0.00431034482758621,-0.678032367720236,-1.39179083264163
-0.717273046488572,-0.732147587039841,0.6560618623292,-1.80160811320997,0.5,0.007,-0.688736661700271,-1.41278667208621
-0.681240932387345,-0.677633315246417,-0.350400096865378,-1.89994610342016,0.506711409395973,0.0167114093959732,-0.671604638103788,-1.32503321982903
-0.842240017163241,-0.869570104592929,1.30577030152562,-1.67897247587012,0.5,0.00641025641025641,-0.70085803597499,-1.3689550605055
-0.925834901347643,-0.84126802046696,0.166444277230143,-1.72163932168799,0.503378378378378,0.0112162162162162,-0.67134925097395,-1.3152852588764
-0.431847415885376,-0.470440019931677,-1.50881058146788,-1.20588367571864,0.507352941176471,0.0122058823529412,-0.656812840034594,-1.3699720663749
-0.605614547243642,-0.624096831281566,-0.637002117554514,-1.08509049940805,0.5,0.00728070175438596,-0.685384271059903,-1.41657082837829
-0.84517419826546,-0.715839564272353,-1.50159467953732,-1.78123823441257,0.505494505494505,0,-0.664755102671119,-1.40855694827785
